"id","classification","pseudo","#unique peptides","M1601","F38","ILRI181","Ckid","PG50","s_990145","s_95010","AAlength","start","stop","Frame","Begin","End","Length","length.AA"
"1","MCCP01v2_0001",4,"no",16,99.56,99.78,99.78,99.33,94.67,94.89,94.9,451,0,451,1,1,1353,1353,451
"2","MCCP01v2_0002",3,"no",24,99.73,100,100,98.4,96,95.92,96.54,376,451,827,3,1518,2645,1128,376
"3","MCCP01v2_0003",4,"no",9,100,97.89,100,99.44,93.79,93.79,94.94,178,827,1005,3,2682,3215,534,178
"4","MCCP01v2_0004",2,"no",2,100,100,100,96.62,91.73,91.35,93.26,267,1005,1272,2,3215,4015,801,267
"5","MCCP01v2_0005",1,"yes",NA,97.24,100,97.24,79.72,88.02,88.02,66.82,223,1272,1495,2,4070,4738,669,223
"6","MCCP01v2_0006",2,"yes",NA,98.85,98.84,98.82,96.51,88.24,88.24,72.41,87,1495,1582,3,4905,5165,261,87
"7","MCCP01v2_0007",3,"no",NA,100,100,100,97.28,95.24,95.24,85.81,148,1582,1730,2,5330,5773,444,148
"8","MCCP01v2_0008",3,"no",NA,99.7,99.85,99.85,98.51,88.64,88.64,75.04,670,1730,2400,3,5853,7862,2010,670
"9","MCCP01v2_0009",3,"no",1,99.49,100,99.49,97.96,93.37,93.37,92.89,197,2400,2597,1,7864,8454,591,197
"10","MCCP01v2_0010",3,"no",10,100,100,100,98.59,94.84,94.84,95.33,214,2597,2811,3,8457,9098,642,214
"11","MCCP01v2_0011",3,"no",NA,99.6,100,99.59,97.57,93.52,93.52,89.52,248,2811,3059,1,9076,9819,744,248
"12","MCCP01v2_0012",3,"no",6,100,100,100,98.64,95,95,97.1,241,3059,3300,3,9819,10541,723,241
"13","MCCP01v2_0013",4,"no",11,100,100,100,99.63,95.62,95.62,72.46,274,3300,3574,2,10592,11413,822,274
"14","MCCP01v2_0014",3,"no",11,100,100,100,97.76,94.26,94.26,77.11,402,3574,3976,3,11418,12623,1206,402
"15","MCCP01v2_0015",4,"yes",NA,100,42.86,42.86,100,97.83,97.83,59.09,50,3976,4026,-2,12620,12769,150,50
"16","MCCP01v2_0016",3,"yes",NA,100,100,100,98.71,95.69,95.69,84.48,236,4026,4262,-3,12748,13455,708,236
"17","MCCP01v2_0017",3,"no",32,99.85,99.85,99.85,98.46,99.38,99.23,95.07,648,4262,4910,3,13689,15632,1944,648
"18","MCCP01v2_0018",1,"no",NA,100,100,99.71,26.55,91.4,91.4,92,350,4910,5260,-2,15683,16732,1050,350
"19","MCCP01v2_0019",3,"no",NA,99.94,100,99.89,97.44,90.61,90.56,87.56,1799,5260,7059,-2,17807,23203,5397,1799
"20","MCCP01v2_0020",1,"no",NA,99.81,100,99.52,69.84,71.7,71.79,73.15,1052,7059,8111,1,23347,26502,3156,1052
"21","MCCP01v2_0021",1,"no",NA,99.81,99.9,99.62,68.53,72.6,72.79,64.83,1051,8111,9162,2,26627,29779,3153,1051
"22","MCCP01v2_0022",3,"no",8,99.65,100,100,97.57,97.92,97.92,97.23,289,9162,9451,2,29927,30793,867,289
"23","MCCP01v2_0023",3,"no",15,100,100,99.71,98.84,97.1,97.1,87.93,346,9451,9797,1,30841,31878,1038,346
"24","MCCP01v2_0024",3,"no",18,99.5,100,99.49,97.99,97.99,97.99,96.5,200,9797,9997,-3,31930,32529,600,200
"25","MCCP01v2_0025",1,"no",NA,100,47.83,47.83,47.83,33.33,33.33,33.33,71,9997,10068,3,32502,32714,213,71
"26","MCCP01v2_0026",4,"no",NA,100,100,100,100,100,100,95.52,69,10068,10137,1,32716,32922,207,69
"27","MCCP01v2_0027",3,"no",9,99.28,99.26,99.26,97.81,99.27,99.27,93.48,138,10137,10275,2,33125,33538,414,138
"28","MCCP01v2_0028",3,"no",3,100,100,100,98.63,100,99.29,87.76,147,10275,10422,2,33554,33994,441,147
"29","MCCP01v2_0029",3,"no",9,98.68,100,98.67,98.67,98.67,98.67,97.37,76,10422,10498,2,34013,34240,228,76
"30","MCCP01v2_0030",3,"no",14,99.78,100,99.57,98.05,96.1,96.1,78.83,463,10498,10961,1,34831,36219,1389,463
"31","MCCP01v2_0031",2,"yes",NA,99.77,100,99.3,96.73,96.03,96.03,90,430,10961,11391,2,36494,37783,1290,430
"32","MCCP01v2_0032",3,"yes",NA,100,100,100,97.56,93.9,93.9,83.33,83,11391,11474,1,37795,38043,249,83
"33","MCCP01v2_0033",3,"no",NA,100,100,99.6,98.41,96.03,96.03,93.28,253,11474,11727,3,38043,38801,759,253
"34","MCCP01v2_0034",2,"no",NA,100,100,100,92,73.19,73.91,74.82,139,11727,11866,2,38801,39217,417,139
"35","MCCP01v2_0035",3,"no",7,99.62,100,99.62,98.49,83.02,83.02,83.83,266,11866,12132,3,39261,40058,798,266
"36","MCCP01v2_0036",3,"yes",NA,100,100,100,98,78,78,79,101,12132,12233,3,40059,40361,303,101
"37","MCCP01v2_0037",2,"yes",NA,100,100,99.54,96.76,81.52,81.52,80.57,218,12233,12451,2,40400,41053,654,218
"38","MCCP01v2_0038",1,"yes",NA,99.66,100,99.66,45.42,43.88,43.88,50.7,296,12451,12747,-1,41526,42413,888,296
"39","MCCP01v2_0039",1,"no",20,99.81,100,99.81,49.37,47.45,45.94,45.57,535,12747,13282,-2,42668,44272,1605,535
"40","MCCP01v2_0040",3,"no",27,100,100,99.8,98.82,95.87,95.87,93.92,510,13282,13792,1,44470,45999,1530,510
"41","MCCP01v2_0041",1,"no",39,100,100,99.82,51.85,93.78,93.97,79.71,548,13792,14340,2,46190,47833,1644,548
"42","MCCP01v2_0042",3,"no",36,100,100,100,97.76,96.64,96.64,90.53,536,14340,14876,1,47851,49458,1608,536
"43","MCCP01v2_0043",2,"no",29,99.64,99.88,99.88,95.49,93.59,93.88,68.91,844,14876,15720,2,49448,51979,2532,844
"44","MCCP01v2_0044",3,"no",3,100,100,100,98.15,98.46,98.77,88.96,326,15720,16046,1,52009,52986,978,326
"45","MCCP01v2_0045",4,"no",54,99.88,100,100,99.37,98.56,98.68,97.6,835,16046,16881,-3,53056,55560,2505,835
"46","MCCP01v2_0046",4,"no",29,100,100,100,99.53,99.21,99.21,98.27,635,16881,17516,-1,55575,57479,1905,635
"47","MCCP01v2_0047",2,"yes",NA,100,100,100,95.52,28.57,28.57,46.61,224,17516,17740,-1,57879,58550,672,224
